@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
179,'2022/12/14 12:06:29:367',2,600,500,2
180,'2022/12/14 12:06:29:378',2,600,508,2
181,'2022/12/14 12:06:29:388',2,605,497,2
182,'2022/12/14 12:06:29:399',2,588,499,2
183,'2022/12/14 12:06:30:431',2,588,486,2
184,'2022/12/14 12:06:30:441',2,584,498,2
185,'2022/12/14 12:06:30:452',2,584,491,2
186,'2022/12/14 12:06:30:462',2,599,494,2
187,'2022/12/14 12:06:30:472',2,588,500,2
188,'2022/12/14 12:06:30:483',2,601,497,2
189,'2022/12/14 12:06:30:493',2,599,477,2
190,'2022/12/14 12:06:31:527',2,600,494,2
191,'2022/12/14 12:06:31:537',2,600,502,2
192,'2022/12/14 12:06:31:548',2,582,499,2
193,'2022/12/14 12:06:31:558',2,589,471,2
194,'2022/12/14 12:06:31:568',2,596,495,2
195,'2022/12/14 12:06:31:578',2,597,482,2
196,'2022/12/14 12:06:31:589',2,597,498,2
197,'2022/12/14 12:06:32:622',2,576,478,2
198,'2022/12/14 12:06:32:633',2,595,486,2
199,'2022/12/14 12:06:32:643',2,578,477,2
200,'2022/12/14 12:06:32:654',2,596,495,2
201,'2022/12/14 12:06:32:664',2,595,509,2
202,'2022/12/14 12:06:32:674',2,592,505,2
203,'2022/12/14 12:06:32:685',2,601,506,2
204,'2022/12/14 12:06:57:857',3,511,25,3
205,'2022/12/14 12:06:57:866',3,491,27,3
206,'2022/12/14 12:06:57:876',3,515,29,3
207,'2022/12/14 12:06:57:885',3,509,28,3
208,'2022/12/14 12:06:57:895',3,501,27,3
209,'2022/12/14 12:06:57:904',3,514,29,3
210,'2022/12/14 12:06:57:913',3,509,27,3
211,'2022/12/14 12:06:57:923',3,511,28,3
212,'2022/12/14 12:06:58:955',3,509,27,3
213,'2022/12/14 12:06:58:964',3,513,27,3
214,'2022/12/14 12:06:58:974',3,502,27,3
215,'2022/12/14 12:06:58:983',3,507,27,3
216,'2022/12/14 12:06:58:992',3,494,24,3
217,'2022/12/14 12:06:59:002',3,499,25,3
218,'2022/12/14 12:06:59:011',3,508,27,3
219,'2022/12/14 12:06:59:021',3,506,26,3
220,'2022/12/14 12:07:00:053',3,503,17,3
221,'2022/12/14 12:07:00:062',3,496,19,3
222,'2022/12/14 12:07:00:071',3,486,20,3
223,'2022/12/14 12:07:00:081',3,504,19,3
224,'2022/12/14 12:07:00:090',3,495,19,3
225,'2022/12/14 12:07:00:100',3,505,19,3
226,'2022/12/14 12:07:00:109',3,492,20,3
227,'2022/12/14 12:07:00:117',3,506,19,3
228,'2022/12/14 12:07:01:151',3,514,30,3
229,'2022/12/14 12:07:01:160',3,494,31,3
230,'2022/12/14 12:07:01:170',3,513,32,3
231,'2022/12/14 12:07:01:179',3,506,33,3
232,'2022/12/14 12:07:01:188',3,508,31,3
233,'2022/12/14 12:07:01:198',3,493,30,3
234,'2022/12/14 12:07:01:207',3,490,30,3
235,'2022/12/14 12:07:01:217',3,511,30,3
236,'2022/12/14 12:07:02:249',3,500,21,3
237,'2022/12/14 12:07:02:259',3,497,21,3
238,'2022/12/14 12:07:02:268',3,490,21,3
239,'2022/12/14 12:07:02:278',3,487,22,3
240,'2022/12/14 12:07:02:287',3,496,20,3
241,'2022/12/14 12:07:02:296',3,494,21,3
242,'2022/12/14 12:07:02:306',3,512,22,3
243,'2022/12/14 12:07:02:315',3,507,21,3
244,'2022/12/14 12:07:03:348',3,496,20,3
245,'2022/12/14 12:07:03:358',3,509,19,3
246,'2022/12/14 12:07:03:367',3,492,20,3
247,'2022/12/14 12:07:03:376',3,507,19,3
248,'2022/12/14 12:07:03:386',3,508,17,3
249,'2022/12/14 12:07:03:395',3,491,20,3
250,'2022/12/14 12:07:03:405',3,512,20,3
251,'2022/12/14 12:07:03:414',3,504,20,3
252,'2022/12/14 12:07:04:446',3,513,14,3
253,'2022/12/14 12:07:04:455',3,494,17,3
254,'2022/12/14 12:07:04:465',3,493,16,3
255,'2022/12/14 12:07:04:474',3,506,16,3
256,'2022/12/14 12:07:04:483',3,506,15,3
257,'2022/12/14 12:07:04:493',3,506,16,3
258,'2022/12/14 12:07:04:502',3,514,16,3
259,'2022/12/14 12:07:04:512',3,492,17,3
260,'2022/12/14 12:07:05:545',3,511,13,3
261,'2022/12/14 12:07:05:554',3,507,13,3
262,'2022/12/14 12:07:05:564',3,493,13,3
263,'2022/12/14 12:07:05:573',3,495,13,3
264,'2022/12/14 12:07:05:583',3,504,13,3
265,'2022/12/14 12:07:05:592',3,508,13,3
266,'2022/12/14 12:07:05:601',3,508,12,3
267,'2022/12/14 12:07:05:611',3,508,13,3
268,'2022/12/14 12:07:06:643',3,518,14,3
269,'2022/12/14 12:07:06:652',3,504,13,3
270,'2022/12/14 12:07:06:662',3,512,14,3
271,'2022/12/14 12:07:06:671',3,513,14,3
272,'2022/12/14 12:07:06:681',3,503,12,3
273,'2022/12/14 12:07:06:690',3,498,14,3
274,'2022/12/14 12:07:06:699',3,491,14,3
275,'2022/12/14 12:07:06:709',3,506,13,3
276,'2022/12/14 12:07:07:741',3,510,11,3
277,'2022/12/14 12:07:07:750',3,511,11,3
278,'2022/12/14 12:07:07:760',3,507,13,3
279,'2022/12/14 12:07:07:769',3,497,12,3
280,'2022/12/14 12:07:07:779',3,496,13,3
281,'2022/12/14 12:07:07:788',3,506,12,3
282,'2022/12/14 12:07:07:797',3,499,13,3
